sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,8000,19,14,37,1,487,0.0,177.36392861101874,343.59930994346524
post login,8000,30,18,67,2,495,0.0,177.31282415000666,561.7020057127975
ajax post search,8000,32,19,73,2,499,0.0,177.30103499479176,562.030429290131
get view hotel,8000,28,17,65,2,416,0.0,177.30103499479176,461.21816892356105
post book hotel,8000,30,18,65,2,402,0.0,177.2931764288722,1074.3204684972188
ajax post cc number,8000,22,15,44,2,492,0.0,177.3049645390071,107.00631648936171
ajax post cc name,8000,22,16,43,1,292,0.0,177.29710562475069,108.73299055892913
post booking details,8000,22,17,43,2,348,0.0,177.2931764288722,508.98377767435676
post confirm booking,8000,37,20,87,3,493,0.0,177.31282415000666,1149.7628440976994
cancel booking,8000,38,21,88,3,492,0.0,177.31675421681405,1020.4371412106302
get logout,8000,30,19,63,3,566,0.0,177.32068445784202,358.40943346041314
TOTAL,88000,28,17,61,1,566,0.0,1944.1928285796346,6236.281134011224
