sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,12000,37,2,428,31.620675996775525,0.0,199.96667222129645,263.43265705715714,1349.0
post login,12000,29,2,390,35.6831829312376,0.0,199.95667605352173,498.97196753203474,2555.29
ajax post search,12000,27,1,471,33.96566012564504,0.0,199.97000449932509,544.0961199570064,2786.19
get view hotel,12000,25,1,336,31.451491284087872,0.0,199.96000799840033,447.21329171665667,2290.19
post book hotel,12000,20,2,284,22.684110532852433,0.0,199.96000799840033,1150.0024213907218,5889.19
ajax post cc number,12000,19,1,270,22.833860332117883,0.0,199.96667222129645,64.08892788701883,328.19
ajax post cc name,12000,19,1,275,22.313920029509234,0.0,199.95667605352173,62.13302222018563,318.19
post booking details,12000,21,2,274,23.277584865267322,0.0,199.96000799840033,525.3226698410318,2690.19
post confirm booking,12000,35,2,590,39.99245683867216,0.0,199.96667222129645,1123.0921148558573,5751.19
cancel booking,12000,31,2,649,36.977189611374676,0.0,199.97333688841488,979.9845697656979,5018.19
get logout,12000,25,2,337,28.555885718354496,0.0,199.97000449932509,335.9242207418887,1720.19
TOTAL,132000,26,1,649,31.146829747717117,0.0,2193.893662638988,5978.671863313776,2790.5454545454545
