sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,2000,27,29,32,2,206,0.0,94.14866073530104,124.02982747257921
post login,2000,15,16,19,2,205,0.0,94.13536665725313,234.85486974018642
ajax post search,2000,12,12,16,2,201,0.0,94.14866073530104,256.16802446688325
get view hotel,2000,14,15,17,2,185,0.0,94.13536665725313,210.53503453591264
post book hotel,2000,14,15,18,2,173,0.0,94.13536665725313,541.3877538713169
ajax post cc number,2000,12,13,16,1,190,0.0,94.1575255402288,30.17730303422626
ajax post cc name,2000,14,15,17,1,176,0.0,94.1575255402288,29.257795948872463
post booking details,2000,15,16,18,2,194,0.0,94.13536665725313,247.30666213640217
post confirm booking,2000,16,15,19,3,204,0.0,94.14422895876483,528.7513165482019
cancel booking,2000,13,14,17,2,202,0.0,94.15309292910271,461.4044037166933
get logout,2000,13,13,17,2,170,0.0,94.15309292910271,158.1652430915168
TOTAL,22000,15,15,25,1,206,0.0,1028.03738317757,2801.4977000584113
