sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,20000,48,32,92,2,3273,0.0,183.58729575913347,241.85474802643657
post login,20000,51,19,149,2,3131,0.0,183.59909302048047,458.6891014000578
ajax post search,20000,47,17,129,2,3235,0.0,183.60752056404232,500.11968556638334
get view hotel,20000,44,17,116,1,3095,0.0,183.59909302048047,411.16115023110535
post book hotel,20000,29,16,58,2,3226,0.0,183.59909302048047,1056.4257835808478
ajax post cc number,20000,32,16,64,1,3226,0.0,183.60752056404232,59.29895349451014
ajax post cc name,20000,32,16,62,1,3230,0.0,183.59909302048047,57.520134581003916
post booking details,20000,33,17,65,2,3290,0.0,183.60246394506612,482.8477018278773
post confirm booking,20000,67,23,185,3,3232,0.0,183.60414945377764,1031.7403073504772
cancel booking,20000,55,20,148,3,3233,0.0,183.64292469721875,900.5325088865959
get logout,20000,44,21,94,2,3303,0.0,183.6311218025231,308.9711890660292
TOTAL,220000,44,19,103,1,3303,0.0,2016.5910445024977,5500.664692684702
