sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,20000,48,2,3273,84.55763829742114,0.0,183.58729575913347,241.85474802643657,1349.0
post login,20000,51,2,3131,98.97782528581843,0.0,183.59909302048047,458.6891014000578,2558.27865
ajax post search,20000,47,2,3235,103.75577439977738,0.0,183.60752056404232,500.11968556638334,2789.2243
get view hotel,20000,44,1,3095,102.47711538337474,0.0,183.59909302048047,411.16115023110535,2293.1977
post book hotel,20000,29,2,3226,74.78387767946712,0.0,183.59909302048047,1056.4257835808478,5892.07705
ajax post cc number,20000,32,1,3226,101.51786637705699,0.0,183.60752056404232,59.29895349451014,330.717
ajax post cc name,20000,32,1,3230,113.25416549645094,0.0,183.59909302048047,57.520134581003916,320.81105
post booking details,20000,33,2,3290,101.81004676738686,0.0,183.60246394506612,482.8477018278773,2692.97065
post confirm booking,20000,67,3,3232,125.72531908520854,0.0,183.60414945377764,1031.7403073504772,5754.23855
cancel booking,20000,55,3,3233,128.5122387478718,0.0,183.64292469721875,900.5325088865959,5021.40385
get logout,20000,44,2,3303,109.03097670804385,0.0,183.6311218025231,308.9711890660292,1722.94595
TOTAL,220000,44,1,3303,105.69324157742435,0.0,2016.5910445024977,5500.664692684702,2793.1695227272726
