sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,1000,29,8,171,7.214492081914022,0.0,50.965801946893635,67.14147151011672,1349.0
post login,1000,15,2,156,5.211391272971164,0.0,50.9580105992662,127.11087587265594,2554.29
ajax post search,1000,11,2,35,2.459349507491771,0.0,50.9683995922528,138.67934107415903,2786.19
get view hotel,1000,14,2,45,2.800999107461479,0.0,50.963204566303126,113.97990377509937,2290.19
post book hotel,1000,15,3,35,2.566936695752348,0.0,50.960607450440804,293.0827146397085,5889.19
ajax post cc number,1000,13,2,42,2.960877572612557,0.0,50.97099750242112,16.336105146796474,328.19
ajax post cc name,1000,14,2,46,2.7502056286757983,0.0,50.963204566303126,15.83591998139843,318.19
post booking details,1000,15,4,37,2.6011312923418535,0.0,50.97099750242112,133.90787868265457,2690.19
post confirm booking,1000,15,3,39,2.4793152280418154,0.0,50.9683995922528,286.2587402841488,5751.19
cancel booking,1000,13,3,47,2.673077627005999,0.0,51.02040816326531,250.02939652423467,5018.19
get logout,1000,13,3,33,2.815581645060219,0.0,51.00999795960008,85.69032069348093,1720.19
TOTAL,11000,15,2,171,5.710796187127422,0.0,556.1735261401557,1515.602484452422,2790.4545454545455
