sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,20000,67,29,73,2,2455,0.0,125.85106784631067,165.79403371550106
post login,20000,57,16,79,2,2437,0.0,125.85502759371481,314.4606836759736
ajax post search,20000,76,15,83,1,2469,0.0,125.85740356176453,342.83420302765717
get view hotel,20000,48,15,63,1,3012,0.0,125.86373991516783,281.89251964260995
post book hotel,20000,37,15,41,2,2403,0.0,125.86770046004645,724.2545485440254
ajax post cc number,20000,53,14,47,1,2432,0.0,125.87086907541553,40.702435168635496
ajax post cc name,20000,43,14,44,1,2433,0.0,125.86770046004645,39.48052457920855
post booking details,20000,43,15,47,2,2456,0.0,125.86849259893262,331.04321920863333
post confirm booking,20000,63,19,106,2,2504,0.0,125.86770046004645,707.2909750498751
cancel booking,20000,71,18,88,2,2487,0.0,125.87086907541553,617.2435887476163
get logout,20000,65,18,66,2,2431,0.0,125.870076906617,211.8009761027792
TOTAL,220000,57,16,65,1,3012,0.0,1383.134560131775,3773.0188574385134
