sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,3000,35,2,326,21.54517980637175,0.0,99.18994875185982,145.29777649198215,1500.0
post login,3000,21,3,211,14.121254272274195,0.0,99.19650828290844,273.7484578042853,2825.89
ajax post search,3000,22,4,206,16.53988173745172,0.0,99.20306868159122,429.38168845689626,4432.19
get view hotel,3000,19,2,206,16.243192676728714,0.0,99.20962994808029,239.80730854608288,2475.19
post book hotel,3000,21,4,255,16.097045108411116,0.0,99.19650828290844,575.1450361447278,5937.19
ajax post cc number,3000,17,2,209,14.548017719110584,0.0,99.212910906806,31.894431778722137,329.19
ajax post cc name,3000,19,2,211,15.960603159724954,0.0,99.2063492063492,30.9235103546627,319.19
post booking details,3000,20,2,214,16.974939751161287,0.0,99.22931895610756,274.83711145519794,2836.19
post confirm booking,3000,28,5,217,20.152905497719182,0.0,99.2063492063492,771.8709309895834,7967.19
cancel booking,3000,28,6,265,21.41664548896489,0.0,99.21947347532742,667.6181874462561,6890.19
get logout,3000,23,3,212,18.52941732908932,0.0,99.22931895610756,172.70068354529818,1782.19
TOTAL,33000,23,2,326,18.3699769971308,0.0,1085.5977366932034,3594.365531860649,3390.418181818182
