sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,38,31,67,3,353,0.0,113.07420494699646,165.63604240282686
post login,4000,25,18,50,3,280,0.0,113.0486391770059,311.9838843865698
ajax post search,4000,25,18,52,4,290,0.0,113.05822498586772,489.3511076172979
get view hotel,4000,22,16,43,2,302,0.0,113.05822498586772,273.28182412379874
post book hotel,4000,22,18,43,4,288,0.0,113.0486391770059,655.4602051126246
ajax post cc number,4000,20,14,39,2,272,0.0,113.06461642828877,36.34740340041834
ajax post cc name,4000,20,16,37,2,262,0.0,113.05502953562646,35.24026843503575
post booking details,4000,21,17,38,3,281,0.0,113.05502953562646,313.1304142760238
post confirm booking,4000,34,23,70,5,292,0.0,113.0486391770059,879.5703003561032
cancel booking,4000,34,23,75,5,336,0.0,113.07100859339666,760.8210280274764
get logout,4000,26,19,54,3,330,0.0,113.06461642828877,196.77991089094917
TOTAL,44000,26,19,53,2,353,0.0,1238.2855373877803,4099.916253025356
