sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,3000,38,4,215,13.235016580604988,0.0,79.58615200955035,235.57190111420613,3031.0
post login,3000,39,6,228,13.233786037596685,0.0,79.55449482895784,312.3135441527446,4020.0
ajax post search,3000,14,3,196,9.14029165593503,0.0,79.59671000265323,158.57157070841072,2040.0
get view hotel,3000,26,3,225,11.856719501334819,0.0,79.59037487066564,267.4034510718171,3440.38
post book hotel,3000,40,7,235,13.157610455127807,0.0,79.55027577428935,578.5261954500556,7446.999
ajax post cc number,3000,12,2,191,9.419511517176579,0.0,79.6030461432324,33.89348449067318,436.0
ajax post cc name,3000,15,2,194,7.57299588450084,0.0,79.59459817993687,33.21986266615372,427.38
post booking details,3000,42,6,252,13.875167250243223,0.0,79.56715467854869,286.4885854286017,3687.0026666666668
post confirm booking,3000,40,8,253,14.06639848085579,0.0,79.56082425013923,482.72597760362794,6213.0
cancel booking,3000,41,7,257,16.500989653822455,0.0,79.56293428101628,454.145850461465,5845.0
get logout,3000,25,4,230,14.937571478211126,0.0,79.59882193743532,246.83252656610682,3175.38
TOTAL,33000,30,2,257,17.199468267535206,0.0,870.0696055684455,3071.3628299425886,3614.7401515151514
