sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,51,49,72,5,242,0.0,81.16883116883116,240.25656960227272
post login,4000,52,50,73,7,257,0.0,81.13754842897423,318.52826629343394
ajax post search,4000,14,14,21,2,193,0.0,81.16883116883116,161.70353084415584
get view hotel,4000,39,38,57,3,214,0.0,81.16389018525658,272.69006300346973
post book hotel,4000,53,52,74,8,251,0.0,81.13590263691684,590.057642938641
ajax post cc number,4000,12,13,20,1,194,0.0,81.172125492106,34.561569057185764
ajax post cc name,4000,15,15,19,1,194,0.0,81.17377275402316,33.87895214806096
post booking details,4000,56,54,74,6,268,0.0,81.13754842897423,292.14287434836405
post confirm booking,4000,53,51,73,6,237,0.0,81.13919428780072,492.30255284190025
cancel booking,4000,54,52,74,7,250,0.0,81.14413226493559,463.17134090678564
get logout,4000,37,36,57,4,231,0.0,81.16883116883116,251.70105773133116
TOTAL,44000,40,41,68,1,268,0.0,888.6375570545704,3136.9080509426626
