sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,16,13,32,1,359,0.0,86.46405257014396,140.0818976697938
post login,4000,60,52,92,6,410,0.0,86.38562543192812,255.76345658582412
ajax post search,4000,22,17,40,3,366,0.0,86.4397622906537,224.45637493246895
get view hotel,4000,23,19,42,3,209,0.0,86.44163028914726,203.18848057224358
post book hotel,4000,52,43,95,8,404,0.0,86.41548565502937,983.7356604303492
ajax post cc number,4000,22,17,40,2,376,0.0,86.45097149279215,147.1523860468132
ajax post cc name,4000,21,17,37,2,198,0.0,86.44349836837897,148.23709290514986
post booking details,4000,42,34,72,5,397,0.0,86.41921963444669,210.14048524391825
post confirm booking,4000,23,18,41,2,236,0.0,86.45097149279215,20.9373446584106
get confirm booking,4000,42,34,71,6,374,0.0,86.41361878632073,481.85719069325324
cancel booking,4000,46,39,80,6,404,0.0,86.42482120865112,446.3031782727999
get logout,4000,25,19,44,3,367,0.0,86.44910309055544,140.37848497946834
TOTAL,48000,33,26,64,1,410,0.0,1031.636863823934,3384.3511400393313
