sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,8000,28,1,811,42.333941742265154,0.0,92.72889548294367,150.23167734980817,1659.0
post login,8000,104,6,699,79.50216981856138,0.0,92.68270077390055,274.41750189709904,3031.8875
ajax post search,8000,40,3,511,49.14504921594341,0.0,92.71814841857608,240.75933266112676,2659.0
get view hotel,8000,48,3,551,57.482389196605254,0.0,92.71814841857608,217.9419758237428,2407.0
post book hotel,8000,111,9,665,94.33757758675755,0.0,92.70310671286371,1055.3126122576684,11657.0
ajax post cc number,8000,38,2,503,48.78292954747977,0.0,92.7213722763097,157.82553894297635,1743.0
ajax post cc name,8000,37,2,517,45.37654784136845,0.0,92.71814841857608,158.99713732716756,1756.0
post booking details,8000,73,4,651,65.60238867602308,0.0,92.7020324920624,225.4180282277689,2490.0
post confirm booking,8000,43,1,688,53.23374112111603,0.0,92.71707384914932,22.454916322840848,248.0
get confirm booking,8000,76,5,583,68.50330486735659,0.0,92.70095829615639,516.9164764365751,5710.0
cancel booking,8000,88,6,609,77.62672538340131,0.0,92.70847819033051,478.7523756547536,5288.0
get logout,8000,47,2,493,56.064909998227726,0.0,92.72029763215541,150.56182705346484,1662.8
TOTAL,96000,61,1,811,68.87716485534453,0.0,1109.3136122024498,3639.1848693523225,3359.3072916666665
